STT	Cauhoi	1	2	3	4	Dapan
1	Mục tiêu đảm bảo sống sót có nghĩa là:	Đặt mức giá thấp nhất có thể, chỉ cần không lỗ	Có thể đặt giá thấp hơn tổng chi phí sản xuất	Đặt một mức giá có thể thấp hơn tổng chi phí sản xuất nhưng bắt buộc phải cao hơn chi phí biến đổi	Cả A và B và C	3
2	Phân đoạn thị trường dựa trên tâm lý khách hàng bao gồm các tiêu thức sau, ngoại trừ:	Lối sống	Lòng tự hào về quyền sở hữu	Lý do mua hàng	Thái độ, Cá tính	3
3	Dựa vào nhu cầu tự nhiên của con người, nhà kinh doanh sẽ xác định được.	khả năng thanh toán của khách hàng	các thông số và đặc tinh cụ thể của sản phẩm mà thị trường cần	mong muốn của từng người hoặc một tập hợp người.	một chủng loại sản phẩm để đáp ứng một loại nhu cầu	4
4	Phân đoạn thị trường theo nguyên tắc hành vi phải dựa vào các biến số, ngoại trừ:	Lý do mua hàng	Lợi ích tìm kiếm	Lối sống	Mức độ trung thành	3
5	Những tiêu thức sau đây thuộc nhóm nhân khẩu học dùng để phân đoạn thị trường, ngoại trừ:	Giới tính.	Tuổi tác.	Lối sống	Thu nhập.	3
6	Hiểu một cách đầy đủ, marketing là công việc thuộc về ......	Bên nào tích cực hơn trong việc tìm kiếm cách trao đổi với bên kia	Người mua	Những người kinh doanh thương mại	Người bán	1
7	Thông tin sơ cấp có thể thu thập theo các phương pháp sau, ngoại trừ:	Quan sát.	Điều tra	Thực nghiệm.	Thu thập thông tin từ báo cáo của các cuộc nghiên cứu trước.	4
8	Các yếu tố ảnh hưởng tới quyết định về giá được bao gồm:	Các yếu tố bên trong	Các yếu tố bên ngoài	Các yếu tố vĩ mô và vì mô	A và B	4
9	Các sản phẩm mà người tiêu dùng thường so sánh về chất lượng, giá cả, kiểu dáng khi mua được gọi là sản phẩm:	Mua có lựa chọn	Mua theo nhu cầu đặc biệt	Mua ngẫu hứng	Mua theo nhu cầu thụ động	1
10	Các yếu tố bên trong ảnh hưởng tới quyết định về giá của doanh nghiệp bao gồm:	Các mục tiêu marketing và chi phi	Chiến lược định vị và 3P (sản phẩm, phân phối và xúc tiến)	Các mục tiêu marketing, chi phi, chiến lược định vị và 3P (sản phẩm, phân phối và xúc tiễn) và một số yếu tố khác như ai là người quyết định giá...	Các mục tiêu marketing, chi phi, chiến lược định vị và 3P (sản phẩm, phân phối và xúc tiến)	3
11	Trình tự của các câu hỏi trong phiếu điều tra khách hàng nên được sắp xếp theo đáp án nào sau đây:	Câu hỏi khó trả lời hoặc mang tính chất cá nhân nên để lên trước.	Xen kẽ các câu hỏi theo ý đồ của người điều tra.	Ngẫu nhiên theo ý muốn của người điều tra.	Câu hỏi khó trả lời hoặc mang tính chất cá nhân nên để sau.	4
12	Khi quyết định cung cấp dịch vụ đi kèm sản phẩm, người làm marketing nên căn cứ vào:	Yêu cầu về dịch vụ của khách hàng	Loại sản phẩm mà doanh nghiệp cung ứng ra thị trường	Năng lực của nhà cung cấp dịch vụ	Tất cả các đáp án trên (A,B,C)	4
13	Điều nào sau đây đúng với chủng loại hàng hoá?	Là tập hợp các nhóm chủng loại hàng hoá và các đơn vị hàng hoả do một người bán cụ thể đem chào bản cho người mua.	Là một nhóm hàng hoá có liên quan chặt chẽ với nhau do giống nhau về chức năng hay do bán chung cho cùng một nhóm khách hàng, hay cùng một kiểu phân phối, hay cùng một dãy giá.	Là một nhóm hàng hoá có liên quan chặt chẽ với nhau do một người bản cụ thể đem chảo bản cho người mua.	Là một nhóm hàng hoá có liên quan chặt chẽ với nhau và được doanh nghiệp chọn để tổ chức sản xuất và đưa ra thị trường.	2
14	Chiến lược marketing phân biệt được hiểu là việc:	Xây dựng các chiến lược marketing - mix khác nhau cho các đoạn thị trường khác nhau	Xây dựng các chiến lược marketing - mix khác nhau cho các đoạn thị trường tổng thể	Xây dựng một chiến lược marketing - mix cho tất cả các đoạn thị trường khác nhau	Xây dựng một chiến lược marketing - mix cho các đoạn thị trường khác nhau	1
15	Phân loại hàng tiêu dùng thường căn cứ vào:	Giá cả của hàng hóa.	Chu kỳ sống của chúng.	Đối tượng khách hàng mua.	Mức độ cấp thiết của nhu cầu.	4
16	Yếu tố nào dưới đây không tham gia vào quyết định về chính sách sản phẩm của doanh nghiệp:	Tính chất của sản phẩm .	Các chương trình khuyến mãi đi kèm sản phẩm.	Việc đặt tên hiệu sản phẩm.	Việc đóng gói sản phẩm.	2
17	Chọn và điền vào khoảng trống câu để hoàn chỉnh câu: Nhãn hiệu là .......... được dùng để xác nhận sản phẩm của một người bán hay nhóm người bán và để phân biệt chủng với sản phẩm của đối thủ cạnh tranh.	Từ ngữ, thuật ngữ, biểu trưng, hình vẽ và sự phối hợp giữa chúng	Thương hiệu của hàng hóa	Từ ngữ, thuật ngữ, biểu trưng, hình vẽ hoặc và sự phối hợp giữa chúng	Tên gọi, thuật ngữ, biểu trưng, hình về hoặc sự phối hợp giữa chúng	3
18	Theo góc độ người bán, giá là:	Chính sách duy nhất mang lại doanh thu cho doanh nghiệp	Khoản tiền mà người bán thu được khi bán một sản phẩm	Có xu hưởng đi lên	Cả A và B.	4
19	Đặc điểm của sản phẩm dịch vụ là:	Không cất trữ được và không ổn định	Tính vô hình, tỉnh lệ thuộc, tỉnh không cất trữ được và không ổn định.	Tính vô hình	Tỉnh lệ thuộc	2
20	Đối với hoạt động kinh doanh của doanh nghiệp, marketing có vai trò:	Đảm bảo cho hoạt động kinh doanh của doanh nghiệp hướng theo thị trường.	Đảm bảo đầy đủ, kịp thời nguồn tài chính cần thiết cho hoạt động sản xuất và tác nghiệp.	tăng giá trị gia tăng cho doanh nghiệp.	Thu hút và giữ người lao động giỏi cho doanh nghiệp.	1
21	Một doanh nghiệp cho rằng để phát triển sản xuất kinh doanh cần chủ trọng vào khẩu bán hàng và thực hiện khuyếch trương sản phẩm để tăng doanh số, doanh nghiệp đó tuân theo quan điểm marketing nào?	Định hướng sản xuất	Định hướng bán hàng	Định hướng sản phẩm	Định hướng marketing.	2
22	Đánh giá để lựa chọn thị trường mục tiêu cần dựa vào các tiêu thức sau, ngoại trừ:	Ý đổ của lãnh đạo doanh nghiệp	Mục tiêu và khả năng của doanh nghiệp	Sự hấp dẫn của thị trường	Qui mô và tăng trưởng của thị trường.	1
23	Chiến lược marketing không phân biệt áp dụng cho đoạn thị trường mục tiêu của doanh nghiệp được hiểu là việc:	áp dụng nhiều hệ thống marketing - mix cho các đoạn thị trường khác nhau.	áp dụng một hệ thống marketing – mix các đoạn thị trường.	áp dụng một hệ thống marketing - mix cho thị trường tổng thể.	áp dụng nhiều hệ thống marketing - mix cho nhiều đoạn thị trường.	3
24	Phân đoạn thị trường dựa trên hành vi của khách hàng bao gồm các tiêu thức, ngoại trừ:	Sự chung thành	Động cơ	Lý do mua hàng	Lợi ích mua hàng	2
25	Một doanh nghiệp bán một sản phẩm với các mức giá khác nhau cho đối tượng khác nhau, doanh nghiệp đó đang thực hiện:	Định giá phân biệt	Định giá dựa theo thời vụ	Định giá hai phần	Định giá dựa vào chi phí	1
26	Định vị thị trường là thiết kế sản phẩm và hình ảnh của doanh nghiệp nhằm:	Khuyếch trương những điểm khác biệt	Chiếm được một vị trí có giá trị trong tâm trí khách hằng mục tiêu.	Tất cả các đáp án trên đều đúng	Chiếm được một vị trí đặc biệt trong tâm trí khách hàng mục tiêu.	3
27	Khi đánh giá về qui mô và tăng trưởng của thị trường mục tiêu, các nhà marketing cần chú ý:	Nên chọn các đoạn thị trường nhỏ vì dễ thâm nhập.	Đoạn thị trường phải đủ lớn để bù đắp nỗ lực marketing.	Chọn đoạn thị trường quen thuộc.	Nên chọn các đoạn thị trường có quy mô lớn.	2
28	Phân đoạn thị trường theo nguyên tắc tâm lý phải dựa vào các biến số, ngoại trừ:	Lối sống	Giai tầng xã hội	Mức độ trung thành	Kiểu nhân cách	3
29	Điều nào sau đây cho thấy một sản phẩm là sản phẩm công nghiệp:	Sản phẩm được sử dụng để chế tạo thành sản phẩm khác.	Sản phẩm được người tiêu dùng cuối cùng sử dụng.	Sản phẩm tiêu dùng thiết yếu được phân phối rộng rãi trên thị trường.	Sản phẩm được siêu thị bán lẻ tổng hợp mua để bán lại kiếm lời.	1
30	Chức năng cơ bản của hoạt động marketing là:	Phát hiện và ứng dụng những công nghệ mới để tạo lợi thế cạnh tranh cho doanh nghiệp.	Tạo ra sản phẩm cho doanh nghiệp	Huy động vốn cho doanh nghiệp.	Tạo ra khách hàng cho doanh nghiệp	4
31	Khái niệm sản phẩm theo quan điểm của marketing liên quan đến	Bất cứ cái gì khách hàng có thể mua.	Bất cứ cái gì có thể marketing.	Bất cứ cái gì mang lại lợi ích cho khách hàng.	Bất cứ cái gì mang lại lợi ích cho khách hàng và có thể đem ra chào bán trên thị trường, thu hút sự chú ý mua sắm và sử dụng của khách hàng.	4
